#snap deltaT  AgeUniverse LookbackTime
0 0.000000 0.021502 13.440498
1 0.011002 0.032504 13.429496
2 0.018093 0.050596 13.411404
3 0.033764 0.084361 13.377639
4 0.078215 0.162575 13.299425
5 0.289421 0.451997 13.010003
6 0.034751 0.486748 12.975252
7 0.037337 0.524085 12.937915
8 0.040115 0.564200 12.897800
9 0.043099 0.607299 12.854701
10 0.046303 0.653602 12.808398
11 0.049744 0.703345 12.758655
12 0.053438 0.756784 12.705216
13 0.057404 0.814188 12.647812
14 0.061662 0.875850 12.586150
15 0.066230 0.942080 12.519920
16 0.071133 1.013212 12.448788
17 0.076391 1.089604 12.372396
18 0.082032 1.171636 12.290364
19 0.088079 1.259714 12.202286
20 0.094560 1.354275 12.107725
21 0.101503 1.455777 12.006223
22 0.108939 1.564715 11.897285
23 0.116897 1.681613 11.780387
24 0.125409 1.807023 11.654977
25 0.134508 1.941531 11.520469
26 0.144226 2.085757 11.376243
27 0.154596 2.240354 11.221646
28 0.165650 2.406004 11.055996
29 0.177419 2.583424 10.878576
30 0.189933 2.773356 10.688644
31 0.203217 2.976573 10.485427
32 0.217294 3.193868 10.268132
33 0.232182 3.426050 10.035950
34 0.247893 3.673943 9.788057
35 0.264430 3.938373 9.523627
36 0.281786 4.220159 9.241841
37 0.299944 4.520103 8.941897
38 0.318874 4.838977 8.623023
39 0.338531 5.177508 8.284492
40 0.358855 5.536362 7.925638
41 0.205015 5.741377 7.720623
42 0.154821 5.896199 7.565801
43 0.153667 6.049866 7.412134
44 0.155053 6.204919 7.257081
45 0.153849 6.358767 7.103233
46 0.154511 6.513278 6.948722
47 0.154863 6.668142 6.793858
48 0.154368 6.822509 6.639491
49 0.154543 6.977052 6.484948
50 0.154404 7.131455 6.330545
51 0.153935 7.285390 6.176610
52 0.154895 7.440285 6.021715
53 0.154441 7.594725 5.867275
54 0.154298 7.749023 5.712977
55 0.153879 7.902902 5.559098
56 0.154508 8.057410 5.404590
57 0.154955 8.212365 5.249635
58 0.153798 8.366163 5.095837
59 0.154498 8.520661 4.941339
60 0.155046 8.675707 4.786293
61 0.153906 8.829613 4.632387
62 0.154049 8.983663 4.478337
63 0.154822 9.138484 4.323516
64 0.154649 9.293134 4.168866
65 0.154290 9.447424 4.014576
66 0.154602 9.602025 3.859975
67 0.154776 9.756801 3.705199
68 0.153901 9.910702 3.551298
69 0.153743 10.064445 3.397555
70 0.154377 10.218822 3.243178
71 0.154917 10.373740 3.088260
72 0.154369 10.528109 2.933891
73 0.154665 10.682773 2.779227
74 0.153824 10.836597 2.625403
75 0.154911 10.991509 2.470491
76 0.154876 11.146385 2.315615
77 0.153633 11.300018 2.161982
78 0.154434 11.454451 2.007549
79 0.154040 11.608492 1.853508
80 0.154679 11.763170 1.698830
81 0.155254 11.918424 1.543576
82 0.153364 12.071788 1.390212
83 0.155062 12.226850 1.235150
84 0.154027 12.380877 1.081123
85 0.154999 12.535876 0.926124
86 0.154263 12.690139 0.771861
87 0.154190 12.844329 0.617671
88 0.154166 12.998494 0.463506
89 0.155009 13.153504 0.308496
90 0.154030 13.307534 0.154466
91 0.154039 13.461573 0.000427
92 0.000427 13.462000 0.000000
